result_id,analysis_family,metric,result_json,status,post_hoc_exploratory,source_sha256,derivation_id,analysis_code_version,source_evidence_class,derived_evidence_class,protocol,authority_scope
FIDELITY-b1_b8_endpoints,curated_data_fidelity,b1_b8_endpoints,32,PASS,False,"[""0a70a4b4e79bb4b046641b74177e2592907b7a815831ad987a5b9a0707ce6964"",""18ab89a63b63f6c96a0e0aa4807fcf152aed251b441ab77a8b593bcb35929ba0"",""2dceb8a4e860f3978e6327eae0c473626868b77fbb3ede2b5b15d0a666536059"",""69b6f3d5642e905c7759c8c35ce280a07fdecec0afc9094c2a61180fb8b1e34d"",""baf8d7583175aa55eca8c7183608259bb2d30f350a8a643f8b40d4831a362786""]",issue105-analysis-results-v1,5278f4201b4d26c35835a3f4a42ebe85b9487994,CURATED_FROM_MEASURED,CURATED_FROM_MEASURED,issue102_full_prompt,issue102_full_prompt
FIDELITY-observer_capture_identities,curated_data_fidelity,observer_capture_identities,44,PASS,False,"[""0a70a4b4e79bb4b046641b74177e2592907b7a815831ad987a5b9a0707ce6964"",""18ab89a63b63f6c96a0e0aa4807fcf152aed251b441ab77a8b593bcb35929ba0"",""2dceb8a4e860f3978e6327eae0c473626868b77fbb3ede2b5b15d0a666536059"",""69b6f3d5642e905c7759c8c35ce280a07fdecec0afc9094c2a61180fb8b1e34d"",""baf8d7583175aa55eca8c7183608259bb2d30f350a8a643f8b40d4831a362786""]",issue105-analysis-results-v1,5278f4201b4d26c35835a3f4a42ebe85b9487994,CURATED_FROM_MEASURED,CURATED_FROM_MEASURED,issue102_full_prompt,issue102_full_prompt
FIDELITY-physical_exact_replay_matches,curated_data_fidelity,physical_exact_replay_matches,16,PASS,False,"[""0a70a4b4e79bb4b046641b74177e2592907b7a815831ad987a5b9a0707ce6964"",""18ab89a63b63f6c96a0e0aa4807fcf152aed251b441ab77a8b593bcb35929ba0"",""2dceb8a4e860f3978e6327eae0c473626868b77fbb3ede2b5b15d0a666536059"",""69b6f3d5642e905c7759c8c35ce280a07fdecec0afc9094c2a61180fb8b1e34d"",""baf8d7583175aa55eca8c7183608259bb2d30f350a8a643f8b40d4831a362786""]",issue105-analysis-results-v1,5278f4201b4d26c35835a3f4a42ebe85b9487994,CURATED_FROM_MEASURED,CURATED_FROM_MEASURED,issue102_full_prompt,issue102_full_prompt
FIDELITY-representative_overlap_set,curated_data_fidelity,representative_overlap_set,16,PASS,False,"[""0a70a4b4e79bb4b046641b74177e2592907b7a815831ad987a5b9a0707ce6964"",""18ab89a63b63f6c96a0e0aa4807fcf152aed251b441ab77a8b593bcb35929ba0"",""2dceb8a4e860f3978e6327eae0c473626868b77fbb3ede2b5b15d0a666536059"",""69b6f3d5642e905c7759c8c35ce280a07fdecec0afc9094c2a61180fb8b1e34d"",""baf8d7583175aa55eca8c7183608259bb2d30f350a8a643f8b40d4831a362786""]",issue105-analysis-results-v1,5278f4201b4d26c35835a3f4a42ebe85b9487994,CURATED_FROM_MEASURED,CURATED_FROM_MEASURED,issue102_full_prompt,issue102_full_prompt
FIDELITY-stage_a_primary_rows,curated_data_fidelity,stage_a_primary_rows,128,PASS,False,"[""0a70a4b4e79bb4b046641b74177e2592907b7a815831ad987a5b9a0707ce6964"",""18ab89a63b63f6c96a0e0aa4807fcf152aed251b441ab77a8b593bcb35929ba0"",""2dceb8a4e860f3978e6327eae0c473626868b77fbb3ede2b5b15d0a666536059"",""69b6f3d5642e905c7759c8c35ce280a07fdecec0afc9094c2a61180fb8b1e34d"",""baf8d7583175aa55eca8c7183608259bb2d30f350a8a643f8b40d4831a362786""]",issue105-analysis-results-v1,5278f4201b4d26c35835a3f4a42ebe85b9487994,CURATED_FROM_MEASURED,CURATED_FROM_MEASURED,issue102_full_prompt,issue102_full_prompt
FIDELITY-stage_a_sentinels,curated_data_fidelity,stage_a_sentinels,8,PASS,False,"[""0a70a4b4e79bb4b046641b74177e2592907b7a815831ad987a5b9a0707ce6964"",""18ab89a63b63f6c96a0e0aa4807fcf152aed251b441ab77a8b593bcb35929ba0"",""2dceb8a4e860f3978e6327eae0c473626868b77fbb3ede2b5b15d0a666536059"",""69b6f3d5642e905c7759c8c35ce280a07fdecec0afc9094c2a61180fb8b1e34d"",""baf8d7583175aa55eca8c7183608259bb2d30f350a8a643f8b40d4831a362786""]",issue105-analysis-results-v1,5278f4201b4d26c35835a3f4a42ebe85b9487994,CURATED_FROM_MEASURED,CURATED_FROM_MEASURED,issue102_full_prompt,issue102_full_prompt
FIDELITY-stage_c_physical_rows,curated_data_fidelity,stage_c_physical_rows,48,PASS,False,"[""0a70a4b4e79bb4b046641b74177e2592907b7a815831ad987a5b9a0707ce6964"",""18ab89a63b63f6c96a0e0aa4807fcf152aed251b441ab77a8b593bcb35929ba0"",""2dceb8a4e860f3978e6327eae0c473626868b77fbb3ede2b5b15d0a666536059"",""69b6f3d5642e905c7759c8c35ce280a07fdecec0afc9094c2a61180fb8b1e34d"",""baf8d7583175aa55eca8c7183608259bb2d30f350a8a643f8b40d4831a362786""]",issue105-analysis-results-v1,5278f4201b4d26c35835a3f4a42ebe85b9487994,CURATED_FROM_MEASURED,CURATED_FROM_MEASURED,issue102_full_prompt,issue102_full_prompt
FIDELITY-stage_c_unique_prompts,curated_data_fidelity,stage_c_unique_prompts,24,PASS,False,"[""0a70a4b4e79bb4b046641b74177e2592907b7a815831ad987a5b9a0707ce6964"",""18ab89a63b63f6c96a0e0aa4807fcf152aed251b441ab77a8b593bcb35929ba0"",""2dceb8a4e860f3978e6327eae0c473626868b77fbb3ede2b5b15d0a666536059"",""69b6f3d5642e905c7759c8c35ce280a07fdecec0afc9094c2a61180fb8b1e34d"",""baf8d7583175aa55eca8c7183608259bb2d30f350a8a643f8b40d4831a362786""]",issue105-analysis-results-v1,5278f4201b4d26c35835a3f4a42ebe85b9487994,CURATED_FROM_MEASURED,CURATED_FROM_MEASURED,issue102_full_prompt,issue102_full_prompt
FROZEN-OUTCOME-FOLLOWUP_99_CORPUS_READY,issue102_frozen_outcome_reproduction,FOLLOWUP_99_CORPUS_READY,"""yes""",PASS,False,"[""0a70a4b4e79bb4b046641b74177e2592907b7a815831ad987a5b9a0707ce6964"",""18ab89a63b63f6c96a0e0aa4807fcf152aed251b441ab77a8b593bcb35929ba0"",""2dceb8a4e860f3978e6327eae0c473626868b77fbb3ede2b5b15d0a666536059"",""69b6f3d5642e905c7759c8c35ce280a07fdecec0afc9094c2a61180fb8b1e34d"",""baf8d7583175aa55eca8c7183608259bb2d30f350a8a643f8b40d4831a362786""]",issue105-analysis-results-v1,5278f4201b4d26c35835a3f4a42ebe85b9487994,CURATED_FROM_MEASURED,CURATED_FROM_MEASURED,issue102_full_prompt,issue102_full_prompt
FROZEN-OUTCOME-KNEE_VS_S2P50_PROMPT_INTERACTION,issue102_frozen_outcome_reproduction,KNEE_VS_S2P50_PROMPT_INTERACTION,"""moderate""",PASS,False,"[""0a70a4b4e79bb4b046641b74177e2592907b7a815831ad987a5b9a0707ce6964"",""18ab89a63b63f6c96a0e0aa4807fcf152aed251b441ab77a8b593bcb35929ba0"",""2dceb8a4e860f3978e6327eae0c473626868b77fbb3ede2b5b15d0a666536059"",""69b6f3d5642e905c7759c8c35ce280a07fdecec0afc9094c2a61180fb8b1e34d"",""baf8d7583175aa55eca8c7183608259bb2d30f350a8a643f8b40d4831a362786""]",issue105-analysis-results-v1,5278f4201b4d26c35835a3f4a42ebe85b9487994,CURATED_FROM_MEASURED,CURATED_FROM_MEASURED,issue102_full_prompt,issue102_full_prompt
