work,claim_or_metric,comparability,rationale,raw_tps_pooling_allowed,source_document,source_document_sha256
PipeNetwork Kimi-K3 REAP,normalized overlap/specialization patterns with explicit definitions and random baseline,normalized-comparable,same K3; saliency/top-N/source-domain observable differs from selected-route frequency,False,docs/PRIOR_ART.md,d38124779bbddfbbfdc224dbd8d7f4fa9ab05a23a2c72224f3a9fe1ae7cf9195
PipeNetwork Kimi-K3 REAP,raw saliency/pruning metrics or semantic-function transfer,qualitative only,observable and intervention differ; project-code license unresolved,False,docs/PRIOR_ART.md,d38124779bbddfbbfdc224dbd8d7f4fa9ab05a23a2c72224f3a9fe1ae7cf9195
CommitteeAudit / Standing Committee,core/periphery hypothesis and diagnostic structure,qualitative only,other models and routing weights; #102 exposes selected top-k/top-M only,False,docs/PRIOR_ART.md,d38124779bbddfbbfdc224dbd8d7f4fa9ab05a23a2c72224f3a9fe1ae7cf9195
WASTE,normalized cache/working-set ratios after unit reconciliation,normalized-comparable,full K3 systems context but different representation and cache hierarchy,False,docs/PRIOR_ART.md,d38124779bbddfbbfdc224dbd8d7f4fa9ab05a23a2c72224f3a9fe1ae7cf9195
WASTE,absolute TPS,qualitative only,"hardware, expert bytes, kernels and cache hierarchy differ",False,docs/PRIOR_ART.md,d38124779bbddfbbfdc224dbd8d7f4fa9ab05a23a2c72224f3a9fe1ae7cf9195
Colibrì,normalized source-MXFP4 layout/memory quantities,normalized-comparable,same K3 layout family when units are reconciled,False,docs/PRIOR_ART.md,d38124779bbddfbbfdc224dbd8d7f4fa9ab05a23a2c72224f3a9fe1ae7cf9195
Colibrì,absolute TPS,qualitative only,no exact same-host/protocol comparison,False,docs/PRIOR_ART.md,d38124779bbddfbbfdc224dbd8d7f4fa9ab05a23a2c72224f3a9fe1ae7cf9195
Cache-Conditional Experts,cache-aware locality/quality concept,qualitative only,"different model, policy and quality protocol",False,docs/PRIOR_ART.md,d38124779bbddfbbfdc224dbd8d7f4fa9ab05a23a2c72224f3a9fe1ae7cf9195
MoE-ERAS,residency-aware routing concept,qualitative only,"different model, system and protocol",False,docs/PRIOR_ART.md,d38124779bbddfbbfdc224dbd8d7f4fa9ab05a23a2c72224f3a9fe1ae7cf9195
ReMoE,reuse-oriented router methodology,qualitative only,training-based fine-tuning differs from bounded frozen S2,False,docs/PRIOR_ART.md,d38124779bbddfbbfdc224dbd8d7f4fa9ab05a23a2c72224f3a9fe1ae7cf9195
