case_id,semantic_family,length_level,templated_prompt_tokens,corpus_sha256,prompt_sha256,execution_round,execution_position,selection_roles,source_sha256,derivation_id,analysis_code_version,source_evidence_class,derived_evidence_class,protocol,authority_scope
01-math-b1,mathematical reasoning,1,178,e0f1746f987f888d68a36261a2822f4754a413b7799c6252aae8a4ded2a900d8,19320c5d771cd93924aebebe46bb7d50ab9fe365f17e8919ba083c6ad2b6b24f,1,1,"[""FAMILY_REPRESENTATIVE"",""STAGE_A_PRIMARY"",""STAGE_B_REPRESENTATIVE""]","[""e0f1746f987f888d68a36261a2822f4754a413b7799c6252aae8a4ded2a900d8""]",issue105-cases-v1,5278f4201b4d26c35835a3f4a42ebe85b9487994,CURATED_FROM_MEASURED,CURATED_FROM_MEASURED,issue102_full_prompt,issue102_full_prompt
01-math-b2,mathematical reasoning,2,191,e0f1746f987f888d68a36261a2822f4754a413b7799c6252aae8a4ded2a900d8,d4cca88bb35c947efe6ceab890b44b4827f63ea571446e5a06832620c2b25d9f,2,1,"[""STAGE_A_PRIMARY""]","[""e0f1746f987f888d68a36261a2822f4754a413b7799c6252aae8a4ded2a900d8""]",issue105-cases-v1,5278f4201b4d26c35835a3f4a42ebe85b9487994,CURATED_FROM_MEASURED,CURATED_FROM_MEASURED,issue102_full_prompt,issue102_full_prompt
01-math-b3,mathematical reasoning,3,225,e0f1746f987f888d68a36261a2822f4754a413b7799c6252aae8a4ded2a900d8,5d056b57ad6dd395ced6c4c0ea8fb04fd7bce00ce533cfc803dcec350bb0ea76,3,1,"[""STAGE_A_PRIMARY""]","[""e0f1746f987f888d68a36261a2822f4754a413b7799c6252aae8a4ded2a900d8""]",issue105-cases-v1,5278f4201b4d26c35835a3f4a42ebe85b9487994,CURATED_FROM_MEASURED,CURATED_FROM_MEASURED,issue102_full_prompt,issue102_full_prompt
01-math-b4,mathematical reasoning,4,253,e0f1746f987f888d68a36261a2822f4754a413b7799c6252aae8a4ded2a900d8,3709357a264bde2258f258ba0fd63d0591b64824e8fd365446fcdb991ef00d65,4,1,"[""STAGE_A_PRIMARY""]","[""e0f1746f987f888d68a36261a2822f4754a413b7799c6252aae8a4ded2a900d8""]",issue105-cases-v1,5278f4201b4d26c35835a3f4a42ebe85b9487994,CURATED_FROM_MEASURED,CURATED_FROM_MEASURED,issue102_full_prompt,issue102_full_prompt
01-math-b5,mathematical reasoning,5,283,e0f1746f987f888d68a36261a2822f4754a413b7799c6252aae8a4ded2a900d8,21c11cd5d6fb2f9cc2bcd8d900f770506ddd51d2e73c6611310999cff72c0ed4,5,1,"[""STAGE_A_PRIMARY""]","[""e0f1746f987f888d68a36261a2822f4754a413b7799c6252aae8a4ded2a900d8""]",issue105-cases-v1,5278f4201b4d26c35835a3f4a42ebe85b9487994,CURATED_FROM_MEASURED,CURATED_FROM_MEASURED,issue102_full_prompt,issue102_full_prompt
01-math-b6,mathematical reasoning,6,308,e0f1746f987f888d68a36261a2822f4754a413b7799c6252aae8a4ded2a900d8,01d0147ef3d0f98eaf34f458cb3a9d80e817f9cd9237f135c2d1abb5045c00b1,6,1,"[""ADDITIONAL_HIGH_HIT"",""STAGE_A_PRIMARY""]","[""e0f1746f987f888d68a36261a2822f4754a413b7799c6252aae8a4ded2a900d8""]",issue105-cases-v1,5278f4201b4d26c35835a3f4a42ebe85b9487994,CURATED_FROM_MEASURED,CURATED_FROM_MEASURED,issue102_full_prompt,issue102_full_prompt
01-math-b7,mathematical reasoning,7,338,e0f1746f987f888d68a36261a2822f4754a413b7799c6252aae8a4ded2a900d8,ddad213f9abae327130fc8d6f364aa9e528d9a8839bb62292f1c8fec60a88d7e,7,1,"[""STAGE_A_PRIMARY""]","[""e0f1746f987f888d68a36261a2822f4754a413b7799c6252aae8a4ded2a900d8""]",issue105-cases-v1,5278f4201b4d26c35835a3f4a42ebe85b9487994,CURATED_FROM_MEASURED,CURATED_FROM_MEASURED,issue102_full_prompt,issue102_full_prompt
01-math-b8,mathematical reasoning,8,403,e0f1746f987f888d68a36261a2822f4754a413b7799c6252aae8a4ded2a900d8,caa0b28e304985b0d55755ea090d0d0a6ac37cdcd329b56012f4a5f33d38b436,8,1,"[""ADDITIONAL_HIGH_HIT"",""STAGE_A_PRIMARY"",""STAGE_B2_ENDPOINT""]","[""e0f1746f987f888d68a36261a2822f4754a413b7799c6252aae8a4ded2a900d8""]",issue105-cases-v1,5278f4201b4d26c35835a3f4a42ebe85b9487994,CURATED_FROM_MEASURED,CURATED_FROM_MEASURED,issue102_full_prompt,issue102_full_prompt
02-formal-b1,formal logic / proof-style reasoning,1,184,e0f1746f987f888d68a36261a2822f4754a413b7799c6252aae8a4ded2a900d8,0a7a338724012c4c9b831b368e4c12a6a77a15207177e2d16cb582c175de3b9a,1,2,"[""STAGE_A_PRIMARY"",""STAGE_B2_ENDPOINT""]","[""e0f1746f987f888d68a36261a2822f4754a413b7799c6252aae8a4ded2a900d8""]",issue105-cases-v1,5278f4201b4d26c35835a3f4a42ebe85b9487994,CURATED_FROM_MEASURED,CURATED_FROM_MEASURED,issue102_full_prompt,issue102_full_prompt
02-formal-b2,formal logic / proof-style reasoning,2,205,e0f1746f987f888d68a36261a2822f4754a413b7799c6252aae8a4ded2a900d8,58c88ac4fe9fdb7b386a68117ef0206e739957b4510c0ce60d6b6e936118c9ca,2,2,"[""STAGE_A_PRIMARY""]","[""e0f1746f987f888d68a36261a2822f4754a413b7799c6252aae8a4ded2a900d8""]",issue105-cases-v1,5278f4201b4d26c35835a3f4a42ebe85b9487994,CURATED_FROM_MEASURED,CURATED_FROM_MEASURED,issue102_full_prompt,issue102_full_prompt
