case_id,semantic_family,length_level,templated_prompt_tokens,generated_token_count,generated_token_hash,sanity_label,sanity_reason,source_sha256,derivation_id,analysis_code_version,source_evidence_class,derived_evidence_class,protocol,authority_scope
01-math-b1,mathematical reasoning,1,178,64,842ce16749c2f609,COHERENT_RELEVANT,,"[""6bfb9b5bd818cf5cd16554067469c8832bd9355fb5a516a23557b831a37e1489""]",issue105-semantic-sanity-v1,358252aa6fc89c60a527f74f00fef8c28860bc7d,SEMANTIC_SANITY,SEMANTIC_SANITY,issue102_full_prompt,issue102_full_prompt
01-math-b2,mathematical reasoning,2,191,64,11be82c4e8b1e0c2,COHERENT_RELEVANT,,"[""6bfb9b5bd818cf5cd16554067469c8832bd9355fb5a516a23557b831a37e1489""]",issue105-semantic-sanity-v1,358252aa6fc89c60a527f74f00fef8c28860bc7d,SEMANTIC_SANITY,SEMANTIC_SANITY,issue102_full_prompt,issue102_full_prompt
01-math-b3,mathematical reasoning,3,225,64,0502eca61a16a489,COHERENT_RELEVANT,,"[""6bfb9b5bd818cf5cd16554067469c8832bd9355fb5a516a23557b831a37e1489""]",issue105-semantic-sanity-v1,358252aa6fc89c60a527f74f00fef8c28860bc7d,SEMANTIC_SANITY,SEMANTIC_SANITY,issue102_full_prompt,issue102_full_prompt
01-math-b4,mathematical reasoning,4,253,64,b97cfd104100c59f,COHERENT_RELEVANT,,"[""6bfb9b5bd818cf5cd16554067469c8832bd9355fb5a516a23557b831a37e1489""]",issue105-semantic-sanity-v1,358252aa6fc89c60a527f74f00fef8c28860bc7d,SEMANTIC_SANITY,SEMANTIC_SANITY,issue102_full_prompt,issue102_full_prompt
01-math-b5,mathematical reasoning,5,283,64,395f26dbe19f8909,COHERENT_RELEVANT,,"[""6bfb9b5bd818cf5cd16554067469c8832bd9355fb5a516a23557b831a37e1489""]",issue105-semantic-sanity-v1,358252aa6fc89c60a527f74f00fef8c28860bc7d,SEMANTIC_SANITY,SEMANTIC_SANITY,issue102_full_prompt,issue102_full_prompt
01-math-b6,mathematical reasoning,6,308,64,58686857f3876489,COHERENT_RELEVANT,,"[""6bfb9b5bd818cf5cd16554067469c8832bd9355fb5a516a23557b831a37e1489""]",issue105-semantic-sanity-v1,358252aa6fc89c60a527f74f00fef8c28860bc7d,SEMANTIC_SANITY,SEMANTIC_SANITY,issue102_full_prompt,issue102_full_prompt
01-math-b7,mathematical reasoning,7,338,64,c93c93f7d30b48d6,COHERENT_RELEVANT,,"[""6bfb9b5bd818cf5cd16554067469c8832bd9355fb5a516a23557b831a37e1489""]",issue105-semantic-sanity-v1,358252aa6fc89c60a527f74f00fef8c28860bc7d,SEMANTIC_SANITY,SEMANTIC_SANITY,issue102_full_prompt,issue102_full_prompt
01-math-b8,mathematical reasoning,8,403,64,aaac3eb45bab3d4a,COHERENT_RELEVANT,,"[""6bfb9b5bd818cf5cd16554067469c8832bd9355fb5a516a23557b831a37e1489""]",issue105-semantic-sanity-v1,358252aa6fc89c60a527f74f00fef8c28860bc7d,SEMANTIC_SANITY,SEMANTIC_SANITY,issue102_full_prompt,issue102_full_prompt
02-formal-b1,formal logic / proof-style reasoning,1,184,64,02a64275043bee2f,COHERENT_RELEVANT,,"[""6bfb9b5bd818cf5cd16554067469c8832bd9355fb5a516a23557b831a37e1489""]",issue105-semantic-sanity-v1,358252aa6fc89c60a527f74f00fef8c28860bc7d,SEMANTIC_SANITY,SEMANTIC_SANITY,issue102_full_prompt,issue102_full_prompt
02-formal-b2,formal logic / proof-style reasoning,2,205,64,bdc9533348324bdc,COHERENT_RELEVANT,,"[""6bfb9b5bd818cf5cd16554067469c8832bd9355fb5a516a23557b831a37e1489""]",issue105-semantic-sanity-v1,358252aa6fc89c60a527f74f00fef8c28860bc7d,SEMANTIC_SANITY,SEMANTIC_SANITY,issue102_full_prompt,issue102_full_prompt
02-formal-b3,formal logic / proof-style reasoning,3,237,64,20edd0d20aefd62e,COHERENT_RELEVANT,,"[""6bfb9b5bd818cf5cd16554067469c8832bd9355fb5a516a23557b831a37e1489""]",issue105-semantic-sanity-v1,358252aa6fc89c60a527f74f00fef8c28860bc7d,SEMANTIC_SANITY,SEMANTIC_SANITY,issue102_full_prompt,issue102_full_prompt
02-formal-b4,formal logic / proof-style reasoning,4,262,64,8b24621bf7bb9c9d,COHERENT_RELEVANT,,"[""6bfb9b5bd818cf5cd16554067469c8832bd9355fb5a516a23557b831a37e1489""]",issue105-semantic-sanity-v1,358252aa6fc89c60a527f74f00fef8c28860bc7d,SEMANTIC_SANITY,SEMANTIC_SANITY,issue102_full_prompt,issue102_full_prompt
02-formal-b5,formal logic / proof-style reasoning,5,291,64,51acf25a4d98145a,COHERENT_RELEVANT,,"[""6bfb9b5bd818cf5cd16554067469c8832bd9355fb5a516a23557b831a37e1489""]",issue105-semantic-sanity-v1,358252aa6fc89c60a527f74f00fef8c28860bc7d,SEMANTIC_SANITY,SEMANTIC_SANITY,issue102_full_prompt,issue102_full_prompt
02-formal-b6,formal logic / proof-style reasoning,6,313,64,29eccee4b0a22ba9,COHERENT_RELEVANT,,"[""6bfb9b5bd818cf5cd16554067469c8832bd9355fb5a516a23557b831a37e1489""]",issue105-semantic-sanity-v1,358252aa6fc89c60a527f74f00fef8c28860bc7d,SEMANTIC_SANITY,SEMANTIC_SANITY,issue102_full_prompt,issue102_full_prompt
02-formal-b7,formal logic / proof-style reasoning,7,335,64,32c72a5660d82dc5,COHERENT_RELEVANT,,"[""6bfb9b5bd818cf5cd16554067469c8832bd9355fb5a516a23557b831a37e1489""]",issue105-semantic-sanity-v1,358252aa6fc89c60a527f74f00fef8c28860bc7d,SEMANTIC_SANITY,SEMANTIC_SANITY,issue102_full_prompt,issue102_full_prompt
